title;artist;top genre;year;bpm;energy;danceability;valence;duration;acousticness;speechiness
La Jumpa;Arcángel;latin hip hop;2022;140;23;89;20;197;11;18
LET GO;Central Cee;melodic drill;2022;146;45;74;51;176;86;38
MIDDLE OF THE NIGHT;Elley Duhé;alt z;2020;186;61;41;9;184;2;5
Mr. Brightside;The Killers;alternative rock;2004;148;91;35;24;223;0;7
Numb;Linkin Park;alternative metal;2003;110;86;50;24;186;0;4
Photograph;Ed Sheeran;pop;2014;108;38;61;20;259;61;5
Say You Won't Let Go;James Arthur;pop;2016;85;56;36;49;211;70;6
Something Just Like This;The Chainsmokers;electropop;2017;103;64;62;45;247;5;3
Somewhere Only We Know;Keane;neo mellow;2004;172;67;45;30;237;6;3
STAY (with Justin Bieber);The Kid LAROI;australian hip hop;2021;170;76;59;48;142;4;5
Stressed Out;Twenty One Pilots;modern rock;2015;170;64;73;65;202;5;14
Style;Taylor Swift;pop;2014;95;79;59;49;231;0;4
The Nights;Avicii;edm;2014;126;84;53;65;177;2;4
Thunder;Imagine Dragons;modern rock;2017;168;82;61;29;187;1;4
traitor;Olivia Rodrigo;pop;2021;101;34;38;8;229;69;3
Wake Me Up;Avicii;edm;2013;124;78;53;64;247;0;5
Where Are You Now;Lost Frequencies;belgian edm;2021;121;64;67;26;148;52;10
Woman;Doja Cat;dance pop;2021;108;76;82;88;173;9;9
7 rings;Ariana Grande;pop;2019;140;32;78;33;179;59;33
A Sky Full of Stars;Coldplay;permanent wave;2014;125;68;55;16;268;1;3
Adore You;Harry Styles;pop;2019;99;77;68;57;207;2;5
All of Me;John Legend;neo soul;2013;120;26;42;33;270;92;3
Before You Go;Lewis Capaldi;pop;2019;112;57;46;18;215;60;6
Beggin';Måneskin;indie rock italiano;2017;134;80;71;59;212;13;5
Closer;The Chainsmokers;electropop;2016;95;52;75;66;245;41;3
Cold Heart - PNAU Remix;Elton John;glam rock;2021;116;80;80;94;203;3;3
Counting Stars;OneRepublic;piano rock;2013;122;71;66;48;257;7;4
Daddy Issues;The Neighbourhood;modern alternative rock;2015;85;52;59;34;260;7;3
deja vu;Olivia Rodrigo;pop;2021;181;61;44;18;216;58;11
Demons;Imagine Dragons;modern rock;2012;90;71;51;43;178;19;3
drivers license;Olivia Rodrigo;pop;2021;144;43;56;14;242;77;6
everything i wanted;Billie Eilish;art pop;2019;120;23;70;24;245;90;10
Fair Trade (with Travis Scott);Drake;canadian hip hop;2021;168;47;67;29;291;5;26
Flashing Lights;Kanye West;chicago rap;2007;90;63;64;43;238;4;4
FLOWER;JISOO;k-pop;2023;124;38;84;60;173;2;4
Glimpse of Us;Joji;viral pop;2022;170;32;44;27;233;89;5
God's Plan;Drake;canadian hip hop;2018;77;45;75;36;199;3;11
good 4 u;Olivia Rodrigo;pop;2021;167;66;56;69;178;34;15
goosebumps;Travis Scott;hip hop;2016;130;73;84;43;244;8;5
Hips Don't Lie (feat. Wyclef Jean);Shakira;colombian pop;2005;100;82;78;76;218;28;7
HUMBLE.;Kendrick Lamar;conscious hip hop;2017;150;62;91;42;177;0;10
Kill Bill (feat. Doja Cat);SZA;pop;2023;89;74;63;45;176;8;4
Let Me Down Slowly;Alec Benjamin;alt z;2018;150;56;65;48;169;74;3
Lost;Frank Ocean;lgbtq+ hip hop;2012;123;60;91;50;234;3;23
Love On The Brain;Rihanna;barbadian pop;2016;172;64;51;38;224;7;5
Ni**as In Paris;JAY-Z;east coast hip hop;2011;140;86;79;78;219;13;31
Nobody Gets Me;SZA;pop;2022;100;28;36;28;181;81;3
rockstar (feat. 21 Savage);Post Malone;dfw rap;2018;160;52;59;13;218;12;7
Running Up That Hill (A Deal With God);Kate Bush;art pop;1985;108;55;63;19;299;72;5
Set Fire to the Rain;Adele;british soul;2011;108;67;60;45;243;0;2
Seven Nation Army;The White Stripes;alternative rock;2003;124;45;74;28;232;0;7
Shallow;Lady Gaga;art pop;2018;96;39;57;32;216;37;3
STAY (with Justin Bieber);The Kid LAROI;australian hip hop;2021;170;76;59;48;142;4;5
telepatía;Kali Uchis;colombian pop;2020;84;52;65;55;160;11;5
That's What I Like;Bruno Mars;dance pop;2016;134;56;85;86;207;1;4
The Less I Know The Better;Tame Impala;australian psych;2015;117;74;64;79;216;1;3
The Scientist;Coldplay;permanent wave;2002;146;44;56;21;310;73;2
Till I Collapse;Eminem;detroit hip hop;2002;171;85;55;10;298;6;19
Too Good At Goodbyes;Sam Smith;pop;2017;92;37;68;48;201;64;4
Treat You Better;Shawn Mendes;canadian pop;2017;83;82;44;75;188;11;34
Una Noche en Medellín;Cris Mj;mambo chileno;2022;96;55;87;83;154;9;8
Until I Found You;Stephen Sanchez;gen z singer-songwriter;2021;101;51;54;23;178;73;3
What Makes You Beautiful;One Direction;boy band;2012;125;79;73;89;200;1;7
All The Stars (with SZA);Kendrick Lamar;conscious hip hop;2018;97;63;70;55;232;6;6
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);Taylor Swift;pop;2021;93;52;63;21;613;27;3
Belly Dancer;Imanbek;electro house;2022;122;80;85;42;151;6;14
Feel Good Inc.;Gorillaz;alternative hip hop;2005;139;71;82;77;223;1;18
Fix You;Coldplay;permanent wave;2005;138;42;21;12;296;16;3
happier;Olivia Rodrigo;pop;2021;169;44;40;34;176;77;13
Hymn for the Weekend;Coldplay;permanent wave;2015;90;69;49;41;258;21;4
Let Me Love You;DJ Snake;edm;2016;100;72;65;16;206;9;3
Levitating (feat. DaBaby);Dua Lipa;dance pop;2020;103;83;70;92;203;1;6
Lost in the Fire (feat. The Weeknd);Gesaffelstein;dark clubbing;2019;101;67;66;17;202;9;4
Love Yourself;Justin Bieber;canadian pop;2015;100;38;61;52;234;84;44
LOVE. FEAT. ZACARI.;Kendrick Lamar;conscious hip hop;2017;126;59;80;78;213;26;9
Lucid Dreams;Juice WRLD;chicago rap;2018;84;57;51;22;240;35;20
Maps;Maroon 5;pop;2014;120;71;74;88;190;2;3
One Last Time;Ariana Grande;pop;2014;125;59;63;10;197;9;3
Only Love Can Hurt Like This;Paloma Faith;british soul;2014;91;89;57;30;233;10;8
Paradise;Coldplay;permanent wave;2011;140;59;45;21;279;5;3
Passionfruit;Drake;canadian hip hop;2017;112;46;81;36;299;26;4
Payphone;Maroon 5;pop;2012;110;75;74;55;231;2;4
Promiscuous;Nelly Furtado;canadian latin;2006;114;97;81;87;242;6;5
Redbone;Childish Gambino;atl hip hop;2016;160;35;75;60;327;17;10
Riptide;Vance Joy;folk-pop;2014;102;73;48;51;204;43;4
Shake It Off;Taylor Swift;pop;2014;160;80;65;94;219;6;17
Shut Up and Dance;WALK THE MOON;dance rock;2014;128;87;58;62;199;1;6
SICKO MODE;Travis Scott;hip hop;2018;155;73;83;45;313;1;22
Stan;Eminem;detroit hip hop;2000;80;77;78;51;404;4;24
Stay With Me;Sam Smith;pop;2014;84;42;42;18;173;59;4
Take Me To Church;Hozier;irish singer-songwriter;2014;129;66;57;44;242;63;5
Thinking out Loud;Ed Sheeran;pop;2014;79;45;78;59;282;47;3
Umbrella;Rihanna;barbadian pop;2008;174;83;58;57;276;1;13
We Found Love;Rihanna;barbadian pop;2011;128;77;73;60;215;3;4
when the party's over;Billie Eilish;art pop;2019;83;11;37;20;196;98;10
Yonaguni;Bad Bunny;reggaeton;2021;180;65;64;44;207;28;12
abcdefu;GAYLE;modern alternative pop;2021;122;54;70;42;169;30;5
bad guy;Billie Eilish;art pop;2019;135;43;70;56;194;33;38
Bad Romance;Lady Gaga;art pop;2009;119;92;70;71;295;0;4
Bored;Billie Eilish;art pop;2017;120;32;61;11;181;90;5
Bring Me To Life;Evanescence;alternative metal;2003;95;94;33;30;236;1;7
Can't Feel My Face;The Weeknd;canadian contemporary r&b;2015;108;77;71;58;214;11;4
Delicate;Taylor Swift;pop;2017;95;40;75;5;232;22;7
Doin' Time;Lana Del Rey;art pop;2019;145;56;64;52;202;40;4
Don't;Bryson Tiller;kentucky hip hop;2015;97;36;77;19;198;22;20
EARFQUAKE;Tyler The Creator;hip hop;2019;80;50;55;41;190;23;7
Easy On Me;Adele;british soul;2021;142;37;60;13;225;58;3
Empire State Of Mind;JAY-Z;east coast hip hop;2009;174;96;49;81;277;3;39
Give Me Everything (feat. Ne-Yo Afrojack & Nayer);Pitbull;dance pop;2011;129;94;67;53;252;19;16
Godzilla (feat. Juice WRLD);Eminem;detroit hip hop;2020;166;75;81;83;211;14;34
22;Taylor Swift;pop;2012;104;73;66;67;232;0;4
Happier;Marshmello;brostep;2018;100;79;69;67;214;19;5
Hey Soul Sister;Train;dance pop;2010;97;89;67;80;217;19;4
HIGHEST IN THE ROOM;Travis Scott;hip hop;2019;76;43;60;6;176;5;3
I WANNA BE YOUR SLAVE;Måneskin;indie rock italiano;2021;133;61;75;96;173;0;4
In Da Club;50 Cent;east coast hip hop;2003;90;71;90;78;193;26;37
In Ha Mood;Ice Spice;bronx drill;2023;141;74;77;53;129;70;34
Infinity;Jaymes Young;indie poptimism;2017;122;67;67;49;238;15;4
Jocelyn Flores;XXXTENTACION;emo rap;2017;134;39;87;44;119;47;24
Leave Before You Love Me (with Jonas Brothers);Marshmello;brostep;2021;120;74;72;64;155;0;4
Levitating;Dua Lipa;dance pop;2020;103;88;70;91;204;6;8
Love The Way You Lie;Eminem;detroit hip hop;2010;87;93;75;64;263;24;23
Maria Maria (feat. The Product G&B);Santana;blues rock;1999;98;60;78;68;262;4;13
Moonlight;XXXTENTACION;emo rap;2018;128;54;92;71;135;56;8
Needed Me;Rihanna;barbadian pop;2016;111;31;67;30;192;11;24
Only Girl (In The World);Rihanna;barbadian pop;2010;126;71;79;64;235;11;4
Party;Bad Bunny;reggaeton;2022;97;80;83;47;228;2;9
Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;canadian pop;2021;90;70;68;46;198;32;12
Pepas;Farruko;reggaeton;2021;130;77;76;44;287;1;3
positions;Ariana Grande;pop;2020;144;80;74;68;172;47;9
PROVENZA;KAROL G;reggaeton;2022;111;52;87;53;210;66;5
Pumped Up Kicks;Foster The People;indietronica;2011;128;71;73;97;240;14;3
Ric Flair Drip (with Metro Boomin);Offset;atl hip hop;2017;100;43;88;33;173;15;21
Ride;Twenty One Pilots;modern rock;2015;75;71;65;57;215;1;4
Safe And Sound;Capital Cities;metropopolis;2013;118;82;66;77;193;0;3
See You Again (feat. Charlie Puth);Wiz Khalifa;hip hop;2015;80;48;69;28;230;37;8
Story of My Life;One Direction;boy band;2013;121;66;60;29;245;23;5
Summer;Calvin Harris;dance pop;2014;128;86;60;74;223;2;3
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;dfw rap;2019;90;52;76;93;158;53;6
Tarot;Bad Bunny;reggaeton;2022;114;68;80;42;238;2;4
